name,number,team,Games played,time(min),2pt,2pt shot,2pt percentage,3pt,3pt shot,3pt percentage,free throw,free throw shot,free throw percentage,pt,offReb,defReb,tReb,assist,steal,block,turn over,foul
太樂,3,新竹街口攻城獅,11,31:34,6.18,14.45,42.77%,1,4.45,22.45%,2.18,3.36,64.86%,17.55,3.45,7.27,10.73,1.55,1.18,0.27,2.64,3.64
鈦強,9,高雄17直播鋼鐵人,5,44:14,9.8,17.4,56.32%,2,6.6,30.3%,7.8,14,55.71%,33.4,4,8.8,12.8,4.8,2.6,1.8,4.8,2.6
溫德,5,高雄17直播鋼鐵人,14,38:7,7.79,13.36,58.29%,0,0.07,0%,0.93,1.21,76.47%,16.5,4.43,7.57,12,2.64,1.29,0.86,2.71,3.14
曼尼高,55,新北國王,31,36:39,4.74,11.65,40.72%,1.9,6.03,31.55%,3.1,4.61,67.13%,18.29,1.68,7.74,9.42,6.03,3.52,0.61,3.71,3.03
陳范柏彥,1,臺北富邦勇士,20,9:10,0.85,1.75,48.57%,0.6,1.95,30.77%,0.45,0.5,90%,3.95,0.4,1.45,1.85,0.25,0.25,0.1,0.4,0.95
強森,5,臺北富邦勇士,27,38:14,5.41,9.19,58.87%,2.37,5.63,42.11%,3.56,4.56,78.05%,21.48,3.85,10.67,14.52,4,1.56,2.15,3.11,2.44
呂宗霖,7,臺北富邦勇士,10,7:31,0.2,0.7,28.57%,0.2,0.4,50%,0,0,0%,1,0.2,0.8,1,1.7,0.2,0,0.2,0.8
謝宗融,15,臺北富邦勇士,35,11:19,0.94,2.14,44%,0,0.14,0%,0.63,0.89,70.97%,2.51,0.69,1.49,2.17,0.34,0.26,0.31,0.69,2
簡廷兆,24,臺北富邦勇士,25,13:44,1.44,3.08,46.75%,0.68,2.04,33.33%,0.64,0.88,72.73%,5.56,0.32,0.96,1.28,1.48,0.12,0.04,0.64,0.44
米勒,13,福爾摩沙台新夢想家,5,39:43,3.4,6,56.67%,2.6,9.4,27.66%,3.2,5.2,61.54%,17.8,1.4,9,10.4,2,2,1.6,4,2.6
波因特,15,福爾摩沙台新夢想家,15,33:10,5.87,11.27,52.07%,1.13,4.2,26.98%,4.07,5.67,71.76%,19.2,1.07,8.33,9.4,3.33,2.4,2.93,3.53,2.47
盧冠良,28,福爾摩沙台新夢想家,39,23:57,1.08,2.95,36.52%,1.72,4.82,35.64%,0.26,0.38,66.67%,7.56,0.62,1.69,2.31,1.26,0.82,0.03,0.79,1.44
周柏臣,88,福爾摩沙台新夢想家,26,16:2,0.65,1.46,44.74%,0.31,1.19,25.81%,0.38,0.92,41.67%,2.62,1.27,2.19,3.46,0.58,0.42,0.27,0.73,1.65
李威廷,4,新北國王,7,6:5,0.29,1.29,22.22%,0.29,1.43,20%,0.29,0.29,100%,1.71,0.14,0.29,0.43,0.43,0.14,0,0.57,0.29
蘇士軒,17,新北國王,34,15:36,2,4,50%,0.21,1.09,18.92%,0.26,0.59,45%,4.88,1.47,2.03,3.5,0.79,0.56,0.18,0.56,1.18
高承恩,22,新北國王,3,2:17,0.67,0.67,100%,0.33,1,33.33%,0,0,0%,2.33,0,0.33,0.33,0,0.33,0,0.33,0.67
姜廣謙,2,新竹街口攻城獅,18,7:40,0.44,1.11,40%,0.17,0.94,17.65%,0.56,0.83,66.67%,1.94,0.11,0.39,0.5,0.44,0.17,0.17,0.44,0.5
曾柏喻,7,新竹街口攻城獅,38,21:10,1.39,3.39,41.09%,0.5,1.95,25.68%,1.13,1.63,69.35%,5.42,0.21,1.45,1.66,1.53,0.58,0,0.92,0.95
